parking_id,name,num_stops_1200m,total_daily_trips,total_routes,nearest_stop_distance_m,avg_walk_distance_m,scenario,buffer_distance_m,has_adequate_transit,trips_per_stop,stops_score,frequency_score,reliability_score,proximity_score,diversity_score,accessibility_score,service_quality,reliability_class,rank_extended
106,"Location (35.0463, -85.3161)",170,24603,440,200,784,extended,1200,True,144.7235294117647,70.83,73.55,100,98.0,64.99,80.97,excellent,High Reliability,51
284,33,170,22414,551,63,856,extended,1200,True,131.8470588235294,70.83,67.0,100,99.37,81.39,80.85,excellent,High Reliability,52
242,"Location (35.0389, -85.3084)",182,23454,393,91,672,extended,1200,True,128.86813186813185,75.83,70.11,100,99.09,58.05,80.66,excellent,High Reliability,53
331,"Location (35.0399, -85.3122)",179,23811,394,181,703,extended,1200,True,133.0223463687151,74.58,71.18,100,98.19,58.2,80.55,excellent,High Reliability,54
249,"Location (35.0405, -85.3140)",169,22856,378,76,730,extended,1200,True,135.24260355029585,70.42,68.32,100,99.24,55.83,78.57,excellent,High Reliability,55
25,"Location (35.0486, -85.3163)",157,23221,429,299,795,extended,1200,True,147.9044585987261,65.42,69.42,100,97.01,63.37,78.07,excellent,High Reliability,56
157,"Location (35.0387, -85.3114)",169,22126,373,71,693,extended,1200,True,130.92307692307693,70.42,66.14,100,99.29,55.1,77.85,excellent,High Reliability,57
322,"Location (35.0542, -85.3069)",152,21957,470,79,743,extended,1200,True,144.45394736842104,63.33,65.64,100,99.21,69.42,77.35,excellent,High Reliability,58
287,"Location (35.0529, -85.3128)",150,22232,445,111,758,extended,1200,True,148.21333333333334,62.5,66.46,100,98.89,65.73,76.97,excellent,High Reliability,59
137,"Location (35.0505, -85.3152)",150,22416,430,375,770,extended,1200,True,149.44,62.5,67.01,100,96.25,63.52,76.52,excellent,High Reliability,60
352,"Location (35.0362, -85.3051)",175,20114,335,92,786,extended,1200,True,114.93714285714286,72.92,60.13,100,99.08,49.48,76.08,excellent,High Reliability,61
372,"Location (35.0364, -85.3057)",175,19913,337,95,774,extended,1200,True,113.78857142857143,72.92,59.53,100,99.05,49.78,75.92,excellent,High Reliability,62
160,"Location (35.0471, -85.3177)",148,22109,393,100,838,extended,1200,True,149.38513513513513,61.67,66.09,100,99.0,58.05,75.9,excellent,High Reliability,63
347,"Location (35.0544, -85.3102)",141,21080,424,43,724,extended,1200,True,149.5035460992908,58.75,63.02,100,99.57,62.63,74.79,excellent,High Reliability,64
371,"Location (35.0433, -85.2963)",153,18662,444,71,831,extended,1200,True,121.97385620915033,63.75,55.79,100,99.29,65.58,74.13,excellent,High Reliability,65
373,"Location (35.0540, -85.3125)",138,20561,412,105,765,extended,1200,True,148.9927536231884,57.5,61.46,100,98.95,60.86,73.74,excellent,High Reliability,66
317,"Location (35.0377, -85.3131)",151,19508,327,77,738,extended,1200,True,129.19205298013244,62.92,58.32,100,99.23,48.3,72.94,excellent,High Reliability,67
341,"Location (35.0373, -85.3118)",151,18790,318,55,708,extended,1200,True,124.43708609271523,62.92,56.17,100,99.45,46.97,72.19,excellent,High Reliability,68
18,"Location (35.0379, -85.3148)",144,18898,306,99,784,extended,1200,True,131.23611111111111,60.0,56.49,100,99.01,45.2,71.32,excellent,High Reliability,69
405,"Location (35.0361, -85.3092)",151,17851,305,78,719,extended,1200,True,118.21854304635761,62.92,53.36,100,99.22,45.05,71.13,excellent,High Reliability,70
327,"Location (35.0551, -85.3114)",131,17876,386,86,765,extended,1200,True,136.45801526717557,54.58,53.44,100,99.14,57.02,70.25,excellent,High Reliability,71
433,"Location (35.0353, -85.3087)",148,16945,285,86,751,extended,1200,True,114.49324324324324,61.67,50.65,100,99.14,42.1,69.69,excellent,High Reliability,72
377,"Location (35.0523, -85.2978)",127,16333,446,143,882,extended,1200,True,128.60629921259843,52.92,48.83,100,98.57,65.88,69.25,excellent,High Reliability,73
224,"Location (35.0470, -85.2966)",133,14740,449,137,762,extended,1200,True,110.82706766917293,55.42,44.06,100,98.63,66.32,68.5,excellent,High Reliability,74
457,"Location (35.0345, -85.3072)",149,15388,277,87,789,extended,1200,True,103.2751677852349,62.08,46.0,100,99.13,40.92,68.28,excellent,High Reliability,75
368,"Location (35.0351, -85.3120)",130,16148,255,58,752,extended,1200,True,124.21538461538462,54.17,48.27,100,99.42,37.67,66.7,excellent,High Reliability,76
369,"Location (35.0353, -85.3131)",128,16157,253,52,772,extended,1200,True,126.2265625,53.33,48.3,100,99.48,37.37,66.48,excellent,High Reliability,77
253,"Location (35.0448, -85.3203)",110,17337,276,44,926,extended,1200,True,157.6090909090909,45.83,51.83,100,99.56,40.77,66.02,excellent,High Reliability,78
392,"Location (35.0484, -85.3204)",103,17301,265,43,932,extended,1200,True,167.97087378640776,42.92,51.72,100,99.57,39.14,65.09,excellent,High Reliability,79
77,"Location (35.0373, -85.3177)",114,15657,227,311,885,extended,1200,True,137.3421052631579,47.5,46.8,100,96.89,33.53,63.8,excellent,High Reliability,80
270,"Location (35.0349, -85.3148)",114,14837,211,165,817,extended,1200,True,130.14912280701753,47.5,44.35,100,98.35,31.17,63.05,excellent,High Reliability,81
385,"Location (35.0453, -85.2959)",114,12292,345,71,700,extended,1200,True,107.82456140350877,47.5,36.75,100,99.29,50.96,62.89,excellent,High Reliability,82
179,"Location (35.0484, -85.3213)",93,15979,235,113,973,extended,1200,True,171.81720430107526,38.75,47.77,100,98.87,34.71,62.32,excellent,High Reliability,83
294,"Location (35.0499, -85.3206)",96,15346,240,173,956,extended,1200,True,159.85416666666666,40.0,45.87,100,98.27,35.45,62.05,excellent,High Reliability,84
191,"Location (35.0469, -85.2948)",107,11923,330,45,704,extended,1200,True,111.42990654205607,44.58,35.64,100,99.55,48.74,61.65,excellent,High Reliability,85
116,"Location (35.0350, -85.3162)",105,14102,194,296,854,extended,1200,True,134.3047619047619,43.75,42.16,100,97.04,28.66,61.01,excellent,High Reliability,86
52,"Location (35.0554, -85.3148)",99,13343,283,352,821,extended,1200,True,134.77777777777777,41.25,39.89,100,96.48,41.8,60.93,excellent,High Reliability,87
255,"Location (35.0490, -85.2944)",98,11739,322,60,726,extended,1200,True,119.78571428571429,40.83,35.09,100,99.4,47.56,60.4,excellent,High Reliability,88
307,"Location (35.0469, -85.3216)",86,14814,224,119,964,extended,1200,True,172.25581395348837,35.83,44.28,100,98.81,33.09,60.37,excellent,High Reliability,89
108,"Location (35.0480, -85.2928)",95,11312,312,76,737,extended,1200,True,119.07368421052631,39.58,33.82,100,99.24,46.09,59.54,excellent,High Reliability,90
395,"Location (35.0428, -85.2917)",93,10388,278,79,752,extended,1200,True,111.6989247311828,38.75,31.05,100,99.21,41.06,57.99,excellent,High Reliability,91
254,"Location (35.0401, -85.2715)",130,6963,216,78,753,extended,1200,True,53.56153846153846,54.17,20.81,100,99.22,31.91,57.86,excellent,High Reliability,92
197,"Location (35.0457, -85.2877)",86,9370,299,89,781,extended,1200,True,108.95348837209302,35.83,28.01,100,99.11,44.17,56.64,excellent,High Reliability,93
165,"Location (35.0439, -85.2878)",86,9418,296,100,776,extended,1200,True,109.51162790697674,35.83,28.15,100,99.0,43.72,56.63,excellent,High Reliability,94
175,"Location (35.0322, -85.2740)",115,6998,131,64,776,extended,1200,True,60.85217391304348,47.92,20.92,100,99.36,19.35,55.09,excellent,High Reliability,95
169,"Location (35.0316, -85.3046)",106,7954,151,348,821,extended,1200,True,75.0377358490566,44.17,23.78,100,96.52,22.3,54.88,excellent,High Reliability,96
136,"Location (35.0434, -85.2808)",89,7788,251,76,783,extended,1200,True,87.50561797752809,37.08,23.28,100,99.24,37.08,54.85,excellent,High Reliability,97
339,"Location (35.0328, -85.3132)",90,9162,149,56,752,extended,1200,True,101.8,37.5,27.39,100,99.44,22.01,54.71,excellent,High Reliability,98
28,"Location (35.0404, -85.3213)",75,11035,146,144,935,extended,1200,True,147.13333333333333,31.25,32.99,100,98.56,21.57,54.65,excellent,High Reliability,99
119,"Location (35.0438, -85.2821)",83,8215,259,133,785,extended,1200,True,98.97590361445783,34.58,24.56,100,98.67,38.26,54.64,excellent,High Reliability,100
220,"Location (35.0394, -85.2659)",118,5824,138,104,743,extended,1200,True,49.355932203389834,49.17,17.41,100,98.96,20.38,54.4,excellent,High Reliability,101
239,"Location (35.0361, -85.2689)",115,6264,135,183,680,extended,1200,True,54.469565217391306,47.92,18.73,100,98.17,19.94,54.32,excellent,High Reliability,102
351,"Location (35.0441, -85.2791)",90,7035,237,47,758,extended,1200,True,78.16666666666667,37.5,21.03,100,99.53,35.01,54.11,excellent,High Reliability,103
370,"Location (35.0495, -85.2880)",72,8534,296,283,815,extended,1200,True,118.52777777777777,30.0,25.51,100,97.17,43.72,54.1,excellent,High Reliability,104
309,"Location (35.0601, -85.3027)",83,8017,219,158,897,extended,1200,True,96.59036144578313,34.58,23.97,100,98.42,32.35,53.83,excellent,High Reliability,105
171,"Location (35.0612, -85.3059)",84,7952,210,113,835,extended,1200,True,94.66666666666667,35.0,23.77,100,98.87,31.02,53.81,excellent,High Reliability,106
412,"Location (35.0613, -85.3093)",82,8205,194,155,802,extended,1200,True,100.0609756097561,34.17,24.53,100,98.45,28.66,53.53,excellent,High Reliability,107
110,"Location (35.0308, -85.3055)",94,7641,137,299,809,extended,1200,True,81.2872340425532,39.17,22.84,100,97.01,20.24,53.22,excellent,High Reliability,108
149,"Location (35.0346, -85.2698)",106,5881,122,71,653,extended,1200,True,55.4811320754717,44.17,17.58,100,99.29,18.02,53.01,excellent,High Reliability,109
458,"Location (35.0308, -85.2699)",105,6051,111,60,740,extended,1200,True,57.628571428571426,43.75,18.09,100,99.4,16.4,52.91,excellent,High Reliability,110
265,"Location (35.0373, -85.2639)",111,5218,123,243,761,extended,1200,True,47.009009009009006,46.25,15.6,100,97.57,18.17,52.69,excellent,High Reliability,111
263,"Location (35.0499, -85.2870)",66,7627,291,343,815,extended,1200,True,115.56060606060606,27.5,22.8,100,96.57,42.98,52.5,excellent,High Reliability,112
275,"Location (35.0545, -85.3196)",68,9733,171,678,972,extended,1200,True,143.13235294117646,28.33,29.1,100,93.22,25.26,52.32,excellent,High Reliability,113
60,"Location (35.0346, -85.2663)",105,5455,117,182,689,extended,1200,True,51.95238095238095,43.75,16.31,100,98.18,17.28,52.28,excellent,High Reliability,114
380,"Location (35.0619, -85.3081)",77,7302,177,73,787,extended,1200,True,94.83116883116882,32.08,21.83,100,99.27,26.14,52.07,excellent,High Reliability,115
73,"Location (35.0339, -85.2680)",100,5423,112,62,647,extended,1200,True,54.23,41.67,16.21,100,99.38,16.54,51.84,excellent,High Reliability,116
21,"Location (35.0295, -85.3069)",88,6521,121,258,853,extended,1200,True,74.10227272727273,36.67,19.49,100,97.42,17.87,51.42,excellent,High Reliability,117
279,"Location (35.0411, -85.2619)",107,4238,117,238,810,extended,1200,True,39.60747663551402,44.58,12.67,100,97.62,17.28,51.32,excellent,High Reliability,118
226,"Location (35.0600, -85.3011)",70,6786,212,266,898,extended,1200,True,96.94285714285714,29.17,20.29,100,97.34,31.31,51.11,excellent,High Reliability,119
271,"Location (35.0494, -85.2763)",75,4650,246,58,804,extended,1200,True,62.0,31.25,13.9,100,99.42,36.34,50.53,excellent,High Reliability,120
247,"Location (35.0487, -85.2783)",71,5193,244,85,796,extended,1200,True,73.14084507042253,29.58,15.52,100,99.15,36.04,50.53,excellent,High Reliability,121
259,"Location (35.0257, -85.2775)",86,5107,90,76,812,extended,1200,True,59.383720930232556,35.83,15.27,100,99.24,13.29,49.75,excellent,High Reliability,122
357,"Location (35.0628, -85.3110)",66,6132,136,78,775,extended,1200,True,92.9090909090909,27.5,18.33,100,99.22,20.09,49.27,excellent,High Reliability,123
447,"Location (35.0628, -85.3062)",64,5971,153,55,756,extended,1200,True,93.296875,26.67,17.85,100,99.45,22.6,49.2,excellent,High Reliability,124
260,"Location (35.0441, -85.2600)",92,2716,96,251,785,extended,1200,True,29.52173913043478,38.33,8.12,100,97.49,14.18,48.06,excellent,High Reliability,125
236,"Location (35.0401, -85.2587)",85,3157,88,66,858,extended,1200,True,37.141176470588235,35.42,9.44,100,99.34,13.0,47.89,excellent,High Reliability,126
326,"Location (35.0632, -85.3081)",57,5335,118,58,680,extended,1200,True,93.59649122807018,23.75,15.95,100,99.42,17.43,47.38,excellent,High Reliability,127
120,"Location (35.0456, -85.2590)",87,2517,90,191,774,extended,1200,True,28.93103448275862,36.25,7.52,100,98.09,13.29,47.36,excellent,High Reliability,128
152,"Location (35.0228, -85.2752)",72,4119,80,157,770,extended,1200,True,57.208333333333336,30.0,12.31,100,98.43,11.82,47.14,excellent,High Reliability,129
31,"Location (35.0462, -85.3227)",42,8057,49,244,859,extended,1200,True,191.83333333333334,17.5,24.09,100,97.56,7.24,46.96,excellent,High Reliability,130
176,"Location (35.0433, -85.2582)",82,2408,85,72,819,extended,1200,True,29.365853658536587,34.17,7.2,100,99.28,12.56,46.85,excellent,High Reliability,131
282,"Location (35.0090, -85.3241)",65,4574,69,102,704,extended,1200,True,70.36923076923077,27.08,13.67,100,98.98,10.19,46.74,excellent,High Reliability,132
103,"Location (35.0575, -85.2541)",82,2119,88,67,737,extended,1200,True,25.841463414634145,34.17,6.33,100,99.33,13.0,46.64,excellent,High Reliability,133
67,"Location (35.0378, -85.2588)",75,3211,78,215,824,extended,1200,True,42.81333333333333,31.25,9.6,100,97.85,11.52,46.52,excellent,High Reliability,134
427,"Location (35.0628, -85.3131)",53,4943,105,136,744,extended,1200,True,93.26415094339623,22.08,14.78,100,98.64,15.51,46.3,excellent,High Reliability,135
131,"Location (35.0588, -85.2533)",78,2137,83,102,715,extended,1200,True,27.397435897435898,32.5,6.39,100,98.98,12.26,46.11,excellent,High Reliability,136
117,"Location (35.0101, -85.3267)",59,4124,63,99,705,extended,1200,True,69.89830508474576,24.58,12.33,100,99.01,9.31,45.63,excellent,High Reliability,137
128,"Location (35.0543, -85.2811)",41,3832,212,159,938,extended,1200,True,93.46341463414635,17.08,11.46,100,98.41,31.31,45.6,excellent,High Reliability,138
455,"Location (35.0630, -85.3031)",55,3885,111,189,788,extended,1200,True,70.63636363636364,22.92,11.61,100,98.11,16.4,45.57,excellent,High Reliability,139
207,"Location (35.0155, -85.3245)",57,4104,61,59,650,extended,1200,True,72.0,23.75,12.27,100,99.41,9.01,45.43,excellent,High Reliability,140
388,"Location (35.0171, -85.3234)",56,4029,60,68,647,extended,1200,True,71.94642857142857,23.33,12.04,100,99.32,8.86,45.23,excellent,High Reliability,141
198,"Location (35.0546, -85.2827)",37,4036,201,206,957,extended,1200,True,109.08108108108108,15.42,12.07,100,97.94,29.69,45.13,excellent,High Reliability,142
301,"Location (35.0632, -85.3124)",47,4314,91,172,658,extended,1200,True,91.7872340425532,19.58,12.9,100,98.28,13.44,44.85,excellent,High Reliability,143
232,"Location (35.0205, -85.2881)",62,2688,70,63,799,extended,1200,True,43.354838709677416,25.83,8.04,100,99.37,10.34,44.81,excellent,High Reliability,144
135,"Location (35.0147, -85.3261)",54,3879,58,106,670,extended,1200,True,71.83333333333333,22.5,11.6,100,98.94,8.57,44.8,excellent,High Reliability,145
436,"Location (35.0614, -85.2981)",47,3632,122,186,875,extended,1200,True,77.27659574468085,19.58,10.86,100,98.14,18.02,44.68,excellent,High Reliability,146
154,"Location (35.0090, -85.3291)",52,3599,56,84,753,extended,1200,True,69.21153846153847,21.67,10.76,100,99.16,8.27,44.35,excellent,High Reliability,147
91,"Location (35.0241, -85.2913)",63,2316,65,207,748,extended,1200,True,36.76190476190476,26.25,6.92,100,97.93,9.6,44.29,excellent,High Reliability,148
97,"Location (35.0210, -85.2908)",58,2406,66,93,811,extended,1200,True,41.48275862068966,24.17,7.19,100,99.07,9.75,44.03,excellent,High Reliability,149
65,"Location (35.0632, -85.3147)",44,3895,63,92,730,extended,1200,True,88.52272727272727,18.33,11.64,100,99.08,9.31,43.87,excellent,High Reliability,150
285,"Location (35.0251, -85.3177)",49,3299,53,60,835,extended,1200,True,67.3265306122449,20.42,9.86,100,99.4,7.83,43.76,excellent,High Reliability,151
162,"Location (35.0554, -85.2832)",30,3500,177,205,968,extended,1200,True,116.66666666666667,12.5,10.46,100,97.95,26.14,43.57,excellent,High Reliability,152
213,"Location (35.0624, -85.2982)",41,3035,76,87,808,extended,1200,True,74.02439024390245,17.08,9.07,100,99.13,11.23,42.98,excellent,High Reliability,153
142,"Location (35.0196, -85.3137)",45,3103,49,158,773,extended,1200,True,68.95555555555555,18.75,9.28,100,98.42,7.24,42.96,excellent,High Reliability,154
444,"Location (35.0226, -85.3200)",43,2953,47,181,715,extended,1200,True,68.67441860465117,17.92,8.83,100,98.19,6.94,42.55,excellent,High Reliability,155
426,"Location (35.0651, -85.3101)",43,2669,53,100,555,extended,1200,True,62.06976744186046,17.92,7.98,100,99.0,7.83,42.51,excellent,High Reliability,156
269,"Location (35.0245, -85.3113)",45,2622,45,218,887,extended,1200,True,58.266666666666666,18.75,7.84,100,97.82,6.65,42.38,excellent,High Reliability,157
178,"Location (35.0213, -85.3238)",42,2878,46,307,747,extended,1200,True,68.52380952380952,17.5,8.6,100,96.93,6.79,42.17,excellent,High Reliability,158
445,"Location (35.0103, -85.2197)",34,3446,34,61,656,extended,1200,True,101.3529411764706,14.17,10.3,100,99.39,5.02,42.04,excellent,High Reliability,159
173,"Location (35.0098, -85.2182)",33,3342,33,76,637,extended,1200,True,101.27272727272727,13.75,9.99,100,99.24,4.87,41.81,excellent,High Reliability,160
394,"Location (35.0102, -85.2146)",32,3239,32,121,618,extended,1200,True,101.21875,13.33,9.68,100,98.79,4.73,41.53,excellent,High Reliability,161
36,"Location (35.0142, -85.2121)",32,3240,32,133,728,extended,1200,True,101.25,13.33,9.69,100,98.67,4.73,41.51,excellent,High Reliability,162
416,"Location (35.0116, -85.2134)",32,3239,32,144,641,extended,1200,True,101.21875,13.33,9.68,100,98.56,4.73,41.49,excellent,High Reliability,163
355,"Location (35.0655, -85.3108)",38,2249,47,130,487,extended,1200,True,59.18421052631579,15.83,6.72,100,98.7,6.94,41.47,excellent,High Reliability,164
54,"Location (35.0093, -85.2136)",31,3136,31,55,624,extended,1200,True,101.16129032258064,12.92,9.37,100,99.45,4.58,41.42,excellent,High Reliability,165
378,"Location (35.0167, -85.2357)",30,3105,30,72,624,extended,1200,True,103.5,12.5,9.28,100,99.28,4.43,41.24,excellent,High Reliability,166
408,"Location (35.0106, -85.2120)",30,3032,30,154,622,extended,1200,True,101.06666666666666,12.5,9.06,100,98.46,4.43,41.06,excellent,High Reliability,167
245,"Location (35.0194, -85.2396)",29,2957,29,51,597,extended,1200,True,101.96551724137932,12.08,8.84,100,99.49,4.28,41.02,excellent,High Reliability,168
315,"Location (35.0109, -85.2239)",29,3000,29,95,585,extended,1200,True,103.44827586206897,12.08,8.97,100,99.05,4.28,41.0,excellent,High Reliability,169
443,"Location (35.0103, -85.2126)",29,2929,29,87,587,extended,1200,True,101.0,12.08,8.76,100,99.13,4.28,40.95,excellent,High Reliability,170
217,"Location (35.0152, -85.2208)",32,3239,32,509,784,extended,1200,True,101.21875,13.33,9.68,100,94.91,4.73,40.95,excellent,High Reliability,171
38,"Location (35.0084, -85.2163)",30,3032,30,261,629,extended,1200,True,101.06666666666666,12.5,9.06,100,97.39,4.43,40.9,excellent,High Reliability,172
421,"Location (35.0266, -85.2538)",32,2416,32,66,813,extended,1200,True,75.5,13.33,7.22,100,99.34,4.73,40.87,excellent,High Reliability,173
