parking_id_1,parking_id_2,cluster_id,overlap_ratio,distance_m
157,255,8,0.0,1921.6557549632353
157,267,8,0.040770641364901,1335.1249189970902
157,268,8,0.10865152261456308,1105.3110243332671
157,270,8,0.41570715888504994,527.9822795145959
157,283,8,0.11246594017267568,1094.624160438414
157,284,8,0.0,1753.9348909670325
157,287,8,0.001223570123001458,1572.9262976992322
157,290,8,0.04919933851093376,1300.8535339566683
157,291,8,0.05884244148405894,1264.3399467925744
157,292,8,0.3540413365254916,614.4948329204996
157,294,8,0.010065147588547464,1493.9678345732802
157,295,8,0.33432035132060617,644.3024309411421
157,298,8,0.4633324060042615,467.23356790052065
157,305,8,0.2150456145055428,853.6677800988635
157,307,8,0.05107108299964187,1293.58045578918
157,308,8,0.04781901059369126,1306.3020224612912
157,310,8,0.030333809591862385,1381.4815383676723
157,313,8,0.27778802452818974,736.6576893259943
157,317,8,0.7371141386370916,190.4827676452396
157,320,8,0.20612093439861276,871.8422365537289
157,321,8,0.04634690994669011,1312.2029774029797
157,322,8,0.0,1768.5900691027193
157,327,8,0.0,1813.7542070002341
157,328,8,0.28372818179256504,726.415702551626
157,331,8,0.7876692075541605,149.35425357376928
157,337,8,0.08744822996074172,1168.1321456954415
157,338,8,0.23157598160253137,821.1159310095696
157,339,8,0.3157602007545494,673.4540859077102
157,341,8,0.771400218441136,162.31446234451562
157,345,8,0.047596364946956835,1307.1958211103445
157,347,8,0.0,1743.5195904865263
157,352,8,0.3366313415280608,640.7714941992131
157,358,8,0.1342019159740608,1036.5684751121403
157,363,8,0.027855102568408785,1393.343242640162
157,364,8,0.10745242696960312,1108.7317041725914
157,367,8,0.011794565005409699,1482.3556410411402
157,368,8,0.5197841495040871,400.99852883977206
157,369,8,0.5110672613923071,410.8437202280211
157,371,8,0.013150455850147725,1473.63274862248
157,372,8,0.37165537890003136,588.7787901003863
157,373,8,0.0,1697.270075733774
157,377,8,0.0,1954.3197834972857
157,381,8,0.023763944666380016,1413.721117957179
157,382,8,0.0586172948009679,1265.1951519790207
157,383,8,0.3214097537097972,664.4709454669226
157,385,8,0.00025120713845710443,1589.8468817293592
157,389,8,0.17039916464888366,949.1744460986881
157,392,8,0.03769039117113261,1348.2888879970212
157,403,8,0.11536438935342011,1086.580265165883
157,404,8,0.1929123572728719,899.5468704623088
157,405,8,0.5659651953093028,350.8640102306147
157,406,8,0.01704935325801919,1450.1628167604554
157,415,8,0.2535821454556782,779.7697535114132
157,417,8,0.12203586735479272,1068.4644328038044
157,419,8,0.08070154977931052,1189.4882599860496
157,422,8,0.02994119982762382,1383.337583072768
157,425,8,0.4963361177180227,427.79164810714235
157,431,8,0.07226684004884538,1217.2489854008347
157,433,8,0.4715471949240951,457.22673219131894
157,434,8,0.21813835787032704,847.4948548919003
157,435,8,0.045984634559422144,1313.6571092004135
157,446,8,0.08425370834093464,1178.1652633905246
157,448,8,0.13320695558588586,1039.1241487766972
157,449,8,0.04170127766205333,1331.2183944098635
157,451,8,0.38974956050303894,563.2427059196282
157,453,8,0.3016687021202485,696.3227461116978
157,456,8,0.04571223688527065,1314.734875741304
157,457,8,0.3589830058565108,607.1966915180233
160,179,8,0.564536436704225,352.3458230115318
160,191,8,0.0,2091.915045836912
160,205,8,0.06313737266179732,1248.864631487289
160,211,8,0.40340221565210416,544.4909203168811
160,222,8,0.0,1650.9792323502804
160,224,8,0.0,1931.4809664371298
160,242,8,0.062483612405446656,1251.1781122142652
160,249,8,0.236150987926325,812.3401899608461
160,252,8,0.42400061354160845,517.0662176541324
160,253,8,0.5691781000764317,347.50343548207786
160,255,8,0.0,2135.6322213231024
160,267,8,0.34050026554103596,634.8464233083434
160,268,8,0.0,1733.8111594596792
160,270,8,0.029854609834271056,1383.7634431129873
160,283,8,0.5038843379192004,419.078775670041
160,284,8,0.0,1751.875811212134
160,287,8,0.25339885431458975,780.0840725725407
160,290,8,0.21280284232019164,858.1940373647267
160,291,8,0.0,1822.3375928081982
160,292,8,0.3483852829747655,622.9315156565017
160,294,8,0.5153005711393093,406.0481543918386
160,295,8,0.25637116618897626,774.6658875251791
160,298,8,0.053201572218376146,1285.4023272063232
160,305,8,0.28838044430004034,718.5217192880308
160,307,8,0.5659674660341455,350.84730942861785
160,308,8,0.08735876021537553,1168.4301484311657
160,310,8,0.07369696656337954,1212.4675875615496
160,313,8,0.06775651584800799,1232.646694549861
160,317,8,0.10378263326219078,1119.2361148603766
160,320,8,0.12315010725188598,1065.4867652203259
160,321,8,0.018419681551911968,1442.3639654268445
160,322,8,0.058616678218709146,1265.1618641172831
160,327,8,0.12565988216565535,1058.815933644689
160,328,8,0.41882379165034356,523.8535727610562
160,331,8,0.17367939966532242,941.7331598633745
160,337,8,0.1250911417294357,1060.3355758724636
160,338,8,0.06334880085591156,1248.0841011276043
160,339,8,0.0,1633.5904255367227
160,341,8,0.07355376419361516,1212.9453280520818
160,345,8,0.19840143938805216,887.9112857183663
160,347,8,0.12400076604722088,1063.2115754299448
160,352,8,0.0,1667.5398541659565
160,358,8,0.09363287260306674,1149.2000931948774
160,363,8,0.050856638559694814,1294.397163748844
160,364,8,0.030324535633441865,1381.551461989517
160,367,8,0.05650770192063818,1272.979773673173
160,368,8,0.02151992114328521,1425.4045715754219
160,369,8,0.031458821258001674,1376.235653462413
160,371,8,0.0,2002.2425744949257
160,372,8,0.0,1621.0744769919252
160,373,8,0.19044919936500407,904.8258309705966
160,377,8,0.0,1908.5358180712171
160,381,8,0.03473723773682012,1361.3001421593412
160,382,8,0.0633423161118926,1248.1335457320765
160,383,8,0.42454928576609385,516.3449124825518
160,385,8,0.0,2000.0187825277021
160,389,8,0.2000531590762117,884.4466264743444
160,392,8,0.6327525963593623,283.9218763206693
160,403,8,0.04150724080781738,1332.0294592814016
160,404,8,0.00866510719622471,1503.904770154559
160,405,8,0.018605226863096888,1441.308795800947
160,406,8,0.06972855497030535,1225.8577153497283
160,415,8,0.09227344200961628,1153.2900085726908
160,417,8,0.1487465143202134,1000.1991826341815
160,419,8,0.47306405323887213,455.3978445569174
160,422,8,0.22945067506898098,825.228880388757
160,425,8,0.08243478632406162,1183.9336181103147
160,431,8,0.002322791266357918,1559.313593311887
160,433,8,0.003396477560151873,1547.8844370799393
160,434,8,0.43428074318197746,503.7291797545633
160,435,8,0.062295720790542394,1251.8434537729302
160,446,8,0.0,1839.4317474433585
160,448,8,0.5017452253455458,421.52214906756654
160,449,8,0.2907919580088477,714.4319860378189
160,451,8,0.0564511830843339,1273.1904937899615
160,453,8,0.3525017740208816,616.7829495175101
160,456,8,0.05522567902002736,1277.7535413133292
160,457,8,0.0,1694.2642896327568
179,191,8,0.0,2420.3897356065477
179,205,8,0.0004540891870488345,1585.41685770673
179,211,8,0.2618883177447783,764.6979351048064
179,222,8,0.0,1935.325777772122
179,224,8,0.0,2259.488878756918
179,242,8,0.000722100359821148,1580.6174013046088
179,249,8,0.11002984886069572,1101.434773992772
179,252,8,0.22228512103945375,839.2522003569453
179,253,8,0.5174411662384416,403.6259748591103
179,255,8,0.0,2449.661644948701
179,267,8,0.2148515501142328,854.0616136296185
179,268,8,0.0,2085.6383373578346
179,270,8,0.0,1610.4254643506506
179,283,8,0.2911044884757714,713.9019086901167
179,284,8,0.0,2043.5753821798246
179,287,8,0.1848150924275463,917.0088904436315
179,290,8,0.10192195790460663,1124.6210443596797
179,291,8,0.0,2171.6955523169117
179,292,8,0.1598087850383495,973.701434129927
179,294,8,0.7461733452436153,182.92877829977908
179,295,8,0.10111033988826981,1126.9873486826193
179,298,8,0.0,1629.4173570041353
179,305,8,0.12487974705641218,1060.8743412909203
179,307,8,0.7678962208439488,165.1465837171999
179,308,8,0.013940875215677192,1468.7218037009598
179,310,8,0.008718209708095946,1503.5244147594005
179,313,8,0.000483746013393558,1584.8888012155517
179,317,8,0.028022854548460964,1392.530195260865
179,320,8,0.02427566692147773,1411.1002734951933
179,321,8,0.0,1766.3101455259482
179,322,8,0.014921942142247804,1462.7250720318934
179,327,8,0.08660722660069245,1170.7590594014177
179,328,8,0.20401949080164175,876.1979296610191
179,331,8,0.06313917404526176,1248.8583478634844
179,337,8,0.03186756226364601,1374.3516056614408
179,338,8,0.0,1599.0900316614825
179,339,8,0.0,1871.5565246723856
179,341,8,0.009236252660485111,1499.8160896134832
179,345,8,0.09125969852999129,1156.381199987631
179,347,8,0.0737611136072451,1212.2497049778215
179,352,8,0.0,1996.902122023987
179,358,8,0.01143928799094519,1484.689421391202
179,363,8,0.0001428264019143097,1592.5152846634608
179,364,8,0.0,1721.6974340992244
179,367,8,0.0030786832417397715,1551.1250514782291
179,368,8,0.0,1693.2906887985805
179,369,8,0.0,1630.8063456970483
179,371,8,0.0,2348.6879748414226
179,372,8,0.0,1948.84868519643
179,373,8,0.1413248866688962,1018.5309314270278
179,377,8,0.0,2186.101363592691
179,381,8,0.0,1663.224104706058
179,382,8,0.0020527802301479416,1562.3921319035524
179,383,8,0.20893548386853658,866.0862544286313
179,385,8,0.0,2338.218105128657
179,389,8,0.07172350837946284,1219.0823147611675
179,392,8,0.8828598452054055,78.14887825304866
179,403,8,0.0,1671.5871082142296
179,404,8,0.0,1856.1384677314247
179,405,8,0.0,1744.5453744021577
179,406,8,0.008579150438751142,1504.5299853636184
179,415,8,0.008616974852260983,1504.2541746077557
179,417,8,0.04324094539146698,1324.8253424058453
179,419,8,0.2910719284950915,713.9585900081445
179,422,8,0.12493373328935184,1060.7352409091436
179,425,8,0.005498185363979134,1528.6740237671145
179,431,8,0.0,1900.1017996496432
179,433,8,0.0,1849.877323053633
179,434,8,0.21690339927602176,849.9394954600946
179,435,8,0.0023412374775263027,1559.020218014436
179,446,8,0.0,2191.445647346358
179,448,8,0.27921936169352246,734.1701679845695
179,449,8,0.1701218504295338,949.8059168743315
179,451,8,0.0,1622.421421314407
179,453,8,0.1617906893426211,969.0537364915726
179,456,8,0.0003624513751691297,1587.1952505943766
179,457,8,0.0,2002.0496502698709
191,205,8,0.2176048332605613,848.5623955433217
191,211,8,0.0,1724.460326798856
191,222,8,0.30021027020679125,698.7161843832189
191,224,8,0.7731268868286367,160.93169273812185
191,242,8,0.005795639511648136,1526.1535260888554
191,249,8,0.0,1887.8887517097028
191,252,8,0.000674047464103308,1581.435408602887
191,253,8,0.0,2340.571778960664
191,255,8,0.6904050649264728,230.7705191959264
191,267,8,0.0,1658.7061873129442
191,268,8,0.2774098440329129,737.3088819043395
191,270,8,0.0,2260.669623719848
191,283,8,0.0,1709.9539170787223
191,284,8,0.37336157445502,586.3332543330214
191,287,8,0.0,1774.22365560563
191,290,8,0.033925645923085564,1364.9570640692616
191,291,8,0.38575226967356085,568.810685282132
191,292,8,0.0006959625086402237,1581.0575810087562
191,294,8,0.0,2375.1801996245117
191,295,8,0.025566107124769484,1404.590206548762
191,298,8,0.04538754413089493,1316.0480974083466
191,305,8,0.030690737230564914,1379.8104804710902
191,307,8,0.0,2441.9279186294634
191,308,8,0.1537264551146925,988.144852851857
191,310,8,0.15585157313235687,983.0569971907279
191,313,8,0.1310923398234234,1044.603707308902
191,317,8,0.0,1957.2311506981755
191,320,8,0.12571634189509662,1058.6599750083008
191,321,8,0.32717161323626126,655.3994014316296
191,322,8,0.03214313781105459,1373.0777839032553
191,327,8,0.0,1764.1713939663207
191,328,8,0.0,1621.2030478338104
191,331,8,0.0,1767.6542278160941
191,337,8,0.12790226956778103,1052.9211231817098
191,338,8,0.1601581632149479,972.8874226769755
191,339,8,0.0,2292.3075850332907
191,341,8,0.0,1881.7435679619634
191,345,8,0.040963764475842025,1334.314602772442
191,347,8,0.0,1634.9175772348399
191,352,8,0.007446176093548572,1512.9870308794273
191,358,8,0.1721019867104467,945.3088535935651
191,363,8,0.20054080875935837,883.4234766530553
191,364,8,0.28042756488323795,732.1047777950525
191,367,8,0.15308063662183613,989.6919988920848
191,368,8,0.0,2038.5157389453302
191,369,8,0.0,2107.728849297574
191,371,8,0.5029279949631353,420.1773748885046
191,372,8,0.005231683691527119,1530.9454971035195
191,373,8,0.0,1794.7871093551603
191,377,8,0.32382379990443555,660.6733909742488
191,381,8,0.23821626306709895,808.4164228762975
191,382,8,0.20727085203604317,869.4879030317346
191,383,8,0.0,1676.107714871896
191,385,8,0.7159347159585725,208.4464986839862
191,389,8,0.0750646572786191,1207.901544223094
191,392,8,0.0,2342.68383499958
191,403,8,0.2553177843474606,776.5929522466588
191,404,8,0.20199795647380472,880.3890946304502
191,405,8,0.0,1777.8856313631154
191,406,8,0.13927943980441465,1023.66492416364
191,415,8,0.13053785476808416,1046.0433864939002
191,417,8,0.11211798897850583,1095.5659815392737
191,419,8,0.0,1729.8548873325037
191,422,8,0.012419621249605418,1478.2894298246538
191,425,8,0.03972324784966925,1339.5693704607413
191,431,8,0.3835270576523173,571.9221200855644
191,433,8,0.0,1804.3604499393387
191,434,8,3.96996001603408e-05,1596.2356786124944
191,435,8,0.19849004342327467,887.72489575669
191,446,8,0.2803600386779869,732.2078851117863
191,448,8,0.0,1686.2726076604542
191,449,8,0.00213174423104439,1561.4293281129192
191,451,8,0.07549985562530606,1206.4747331280985
191,453,8,0.004849080241755793,1534.3139835204374
191,456,8,0.2139870459421155,855.8025998948114
191,457,8,0.0,1777.872620306724
205,211,8,0.17110949692841054,947.5569484815622
205,222,8,0.3343098763953557,644.3431301629819
205,224,8,0.30535219830716726,690.2765826443546
205,242,8,0.18572605306314507,915.044258213101
205,249,8,0.10682040229575666,1110.5001789745504
205,252,8,0.2707645054718921,748.9248404908576
205,253,8,0.010307456353565447,1492.3245732177984
205,255,8,0.1799802289341032,927.6700556836028
205,267,8,0.1912995618120678,902.9949042886451
205,268,8,0.3399028089375146,635.7590463248094
205,270,8,0.0,1602.823291828156
205,283,8,0.19838007785702594,887.9562263215399
205,284,8,0.3121023597694828,679.3258360547087
205,287,8,0.11719608301157673,1081.564851995938
205,290,8,0.33483531982939474,643.531859157845
205,291,8,0.3332207225193399,646.023825155932
205,292,8,0.2740518092563178,743.1532476424001
205,294,8,0.002456294263179025,1557.7211934948698
205,295,8,0.38387806445340533,571.4472911698484
205,298,8,0.28031566627695437,732.2990044883036
205,305,8,0.41242964357075157,532.3468389415219
205,307,8,1.7241225743424682e-05,1597.244041955865
205,308,8,0.5643666105485992,352.53319992655463
205,310,8,0.5085911578437017,413.6813485689144
205,313,8,0.5330329942171984,386.2612970139748
205,317,8,0.060129892200532754,1259.6445870031894
205,320,8,0.6961450152174646,225.68944008476967
205,321,8,0.6763296901485641,243.38229724207207
205,322,8,0.18458493677862947,917.5133835212092
205,327,8,0.08364441206292071,1180.0864589414648
205,328,8,0.2568232047454708,773.8530633598574
205,331,8,0.13805147152746688,1026.7575662062002
205,337,8,0.6176392181809952,298.5316858490042
205,338,8,0.6159202318822727,300.21784984988983
205,339,8,0.0,1710.6686869462542
205,341,8,0.07062370127629379,1222.82662371142
205,345,8,0.3494832057276427,621.2800026508692
205,347,8,0.12519041203947984,1060.0530125656517
205,352,8,0.10243869609157363,1123.113430695176
205,358,8,0.8509345034357569,101.19006571212614
205,363,8,0.5463604517958547,371.72803544026226
205,364,8,0.7932508616466495,144.97139132926193
205,367,8,0.43405231049214826,503.99853915740636
205,368,8,0.020183954681662977,1432.6018441523584
205,369,8,0.013242751388226445,1473.059783220733
205,371,8,0.25035218394043174,785.6998970296734
205,372,8,0.1065892279687726,1111.1806792898162
205,373,8,0.09409806861173166,1147.7956167957823
205,377,8,0.2025622084863432,879.2190332822275
205,381,8,0.5548711161024334,362.6019058995528
205,382,8,0.6839682866471952,236.50911120879556
205,383,8,0.22574014070625806,832.4492408712459
205,385,8,0.2685504078133051,752.828285098941
205,389,8,0.5513460384016581,366.37345473267453
205,392,8,0.008023303203001663,1508.6254366952885
205,403,8,0.858837854480983,95.41666321103958
205,404,8,0.4401979386199089,496.1470590659372
205,405,8,0.07068632228141658,1222.6093277512962
205,406,8,0.4412005162324621,494.8547788847019
205,415,8,0.6148668429035522,301.25674427055696
205,417,8,0.6324701171412118,284.20173406059814
205,419,8,0.1810386522497317,925.3280309625054
205,422,8,0.25726409106444337,773.0563611846381
205,425,8,0.3026569334021333,694.6894134510095
205,431,8,0.5959630409306503,320.0297329221146
205,433,8,0.05178483221684496,1290.830731560443
205,434,8,0.2706965439032766,749.0431530263143
205,435,8,0.6202073045338176,296.02614578915365
205,446,8,0.2773267931504788,737.4514277640543
205,448,8,0.2136865994842347,856.4341693068
205,449,8,0.23225449481184146,819.8078976842634
205,451,8,0.3554769386926446,612.367843660539
205,453,8,0.3060861314543272,689.0794227559066
205,456,8,0.6364576787049717,280.37359947652016
205,457,8,0.0402115363280962,1337.4739447069906
211,222,8,0.08360804147353064,1180.1983038972687
211,224,8,0.0018210698626424176,1565.175675319461
211,242,8,0.03771085201231836,1348.2289007233285
211,249,8,0.11184836705644095,1096.318983538969
211,252,8,0.6060334960080441,309.96298652422695
211,253,8,0.19697256515961598,890.920440227188
211,255,8,0.0,1722.5486300497134
211,267,8,0.8638797924808087,91.74254117385608
211,268,8,0.0034388238253857655,1547.5023000373571
211,270,8,0.0,1721.934280332749
211,283,8,0.7167793366107774,207.72616480596025
211,284,8,0.05115557300623255,1293.2459105600967
211,287,8,0.6327036297886266,283.97683348570285
211,290,8,0.5473593229226082,370.6440751019047
211,291,8,0.00031388399900864376,1588.256826619072
211,292,8,0.3088078191598229,684.6525708682657
211,294,8,0.31716223294171825,671.2091688037465
211,295,8,0.2848458461784248,724.5071318097657
211,298,8,0.0508358370370739,1294.4988853006114
211,305,8,0.40844479062046707,537.6871863481595
211,307,8,0.2168422562266402,850.0869366042144
211,308,8,0.27593776385024993,739.8633947383743
211,310,8,0.2639821115130175,760.9542504500663
211,313,8,0.11078002095628557,1099.3098514924166
211,317,8,0.027221277883764713,1396.4063388116404
211,320,8,0.21962427775148155,844.5336726683527
211,321,8,0.1198170847485479,1074.443104147773
211,322,8,0.28661230993550246,721.5073756055643
211,327,8,0.39620664683046397,554.3224758056356
211,328,8,0.3848756886723112,570.0234376512943
211,331,8,0.09056283070444993,1158.5106699695807
211,337,8,0.3129366101028355,677.9806427617241
211,338,8,0.11981577609260606,1074.4461260552737
211,339,8,0.0,1939.4553329911873
211,341,8,0.016992274651716197,1450.492152195901
211,345,8,0.5181602945747285,402.82404507057066
211,347,8,0.41323867371041695,531.2725560386242
211,352,8,0.0,1731.7804055492038
211,358,8,0.21689820759009606,849.9735802780916
211,363,8,0.21370736297037995,856.3751212421583
211,364,8,0.11322576007682927,1092.5092085963556
211,367,8,0.24494077969958178,795.7318250727545
211,368,8,0.0,1687.7943068057873
211,369,8,0.0,1668.1197522744978
211,371,8,0.0,1732.647167888965
211,372,8,0.0,1695.3853589667451
211,373,8,0.5077638271876203,414.60628758607436
211,377,8,0.021444100321482404,1425.8346848205174
211,381,8,0.17867772134930304,930.5367272181909
211,382,8,0.21413238320728953,855.5122393578677
211,383,8,0.3393012661153569,636.6848377494067
211,385,8,0.0,1676.8251783652463
211,389,8,0.3549609739525779,613.1312768132306
