name,Latitude,Longitude,capacity,type,parking_id,capacity_estimated,processing_date,data_source
"Location (35.0700, -85.1410)",35.06997184313256,-85.14104792037267,331,large surface lot,104,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0069, -85.3905)",35.006855125651214,-85.39046322338702,327,large surface lot,105,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0463, -85.3161)",35.046292717290925,-85.31611296503742,324,large surface lot,106,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0129, -85.1873)",35.012926230637085,-85.18727177270547,321,large surface lot,107,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0480, -85.2928)",35.048028370523376,-85.29276234416513,320,large surface lot,108,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.1148, -85.2930)",35.11481531924898,-85.29301244829927,320,surface lot,109,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0308, -85.3055)",35.03078715351266,-85.30550819901035,317,large surface lot,110,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0633, -85.1634)",35.063300286650545,-85.16337861424604,314,large surface lot,111,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0343, -85.2190)",35.03428025356094,-85.21902664584522,314,large surface lot,112,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0468, -85.3023)",35.04681566206796,-85.30227047457397,307,surface lot,113,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0822, -85.3207)",35.08222379673156,-85.32069330700021,306,large surface lot,114,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0331, -85.1567)",35.03311814456318,-85.15670859593905,306,surface lot,115,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0350, -85.3162)",35.03502095346396,-85.31623529572497,302,large surface lot,116,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0101, -85.3267)",35.010089311101105,-85.32671200205131,300,large surface lot,117,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0641, -85.2729)",35.064067497480046,-85.2729361838566,299,large surface lot,118,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0438, -85.2821)",35.043767421572944,-85.28213720311025,299,surface lot,119,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0456, -85.2590)",35.04559555429741,-85.2590478250369,297,large surface lot,120,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0582, -85.1912)",35.05819833968248,-85.19119483583502,297,large surface lot,121,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.1434, -85.2381)",35.14340086729745,-85.23812529055392,294,surface lot,122,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0117, -85.2427)",35.01173377803675,-85.24265005315131,294,large surface lot,123,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.1105, -85.3209)",35.11050238699997,-85.32091371490793,293,large surface lot,124,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0516, -85.3070)",35.05161456623402,-85.3070100612764,292,surface lot,125,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0871, -85.1891)",35.08712907868956,-85.18910268485764,292,large surface lot,126,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0068, -85.2108)",35.00678145987231,-85.21081940286273,291,large surface lot,127,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0543, -85.2811)",35.05426791594952,-85.28112647420322,290,large surface lot,128,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0129, -85.1886)",35.01291792616527,-85.18858738047174,288,large surface lot,129,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.1035, -85.3245)",35.103500221735,-85.32453758745989,288,large surface lot,130,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0588, -85.2533)",35.058833799072026,-85.25333123171085,287,large surface lot,131,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0592, -85.1893)",35.059154215148205,-85.18928475214904,286,large surface lot,132,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0580, -85.2772)",35.0580380795084,-85.27717651381793,285,large surface lot,133,False,2026-02-20T14:48:59.464672,OpenStreetMap
CCA lot,35.07934562405543,-85.30268484901084,283,large surface lot,134,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0147, -85.3261)",35.01470149370823,-85.32607949387622,282,large surface lot,135,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0434, -85.2808)",35.04335261678071,-85.28084648840338,281,large surface lot,136,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0505, -85.3152)",35.050544103242174,-85.31519473756589,281,large surface lot,137,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0630, -85.3218)",35.06299499721008,-85.32182863405997,280,surface lot,138,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.1081, -85.2368)",35.108052576036634,-85.23677297752536,278,large surface lot,139,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0488, -85.2413)",35.04876294365399,-85.24129681944245,277,large surface lot,140,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0554, -85.1895)",35.05537662829871,-85.18952329138257,275,large surface lot,141,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0196, -85.3137)",35.019575665101186,-85.31373953844592,274,large surface lot,142,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0526, -85.1851)",35.052606002986,-85.1851497216704,270,large surface lot,143,False,2026-02-20T14:48:59.464672,OpenStreetMap
