zone_id,zone_employment,zone_area_km2,num_pr_sites,nearest_pr_distance_m,coverage_score,weighted_accessibility,has_coverage,coverage_score_raw,coverage_score_normalized,zone_population,is_underserved,service_level
470650113142,48.0,3.4238049298380564,8,3959.3672898186055,0.12622342094969888,14.107986921980356,True,2.139374068047875,0.12622342094969888,3413.0,True,Underserved
470650113143,26.0,2.0726448213141984,17,4003.4373529432187,0.224069831979622,14.191647799579536,True,3.7977832034839283,0.224069831979622,828.0,True,Underserved
470650113232,110.0,1.577006500818475,20,2468.553633333813,2.604645820448382,36.94031859735135,True,44.14641659044532,2.604645820448382,551.0,True,Underserved
470650113241,14.0,2.192223402641145,18,3659.609238931266,0.9558237444006105,30.94385021730236,True,16.20035740601566,0.9558237444006105,1630.0,True,Underserved
470650113242,235.0,3.783958946555335,1,4172.009415748277,0.0,0.0,True,0.0,0.0,2532.0,False,No Service
470650113251,32.0,1.103166215570378,16,1433.3870406487417,0.39208478889511034,36.645600958596006,True,6.645486420246049,0.39208478889511034,1310.0,True,Underserved
470650113252,238.0,1.903635610033534,6,2308.036978762472,0.0,0.0,True,0.0,0.0,1585.0,False,No Service
470650113253,37.0,1.4570602216651378,6,2800.562230290383,0.003378259110991639,35.47999999999999,True,0.057258469805553325,0.003378259110991639,1007.0,True,Underserved
470650113254,255.0,2.930064689163379,1,4082.078394572291,0.0,0.0,True,0.0,0.0,2627.0,False,No Service
470650113262,82.0,2.704944876963006,24,1902.2260587823,2.3399954168153045,37.67693801949299,True,39.660829000035775,2.3399954168153045,725.0,True,Underserved
470650113263,205.0,2.065610519707892,17,1235.249619500385,0.6756750848966453,36.66170379474805,True,11.452088243036783,0.6756750848966453,2118.0,True,Underserved
470650114131,43.0,5.907816321416898,21,2730.25066204516,2.9452710657226535,29.869365980072285,True,49.91970978103811,2.9452710657226535,1630.0,True,Underserved
470650114132,225.0,6.598628329497346,6,2970.1767450675457,0.6430369736537451,26.736983032365824,True,10.898901454897453,0.6430369736537451,3619.0,True,Underserved
470650114133,389.0,3.6293634697552273,5,2600.707046395362,1.3640616271830104,26.7650940502651,True,23.119624317403535,1.3640616271830104,1300.0,True,Underserved
470650114134,9.0,4.932765140350604,17,1957.9111149547753,0.5106716766356425,28.99604677066673,True,8.655428081894573,0.5106716766356425,1095.0,True,Underserved
470650114135,9.0,5.58379264250855,5,2020.964911020605,0.0,0.0,True,0.0,0.0,983.0,False,No Service
470650114471,42.0,3.707926442206727,16,1635.1045895074733,0.0,0.0,True,0.0,0.0,538.0,False,No Service
470650114472,720.0,4.260499764579857,25,1397.4197979727294,1.7056387883449098,28.392711287785307,True,28.909051630725934,1.7056387883449098,2244.0,True,Underserved
470650114473,8.0,3.951432350380309,1,4678.9268497889125,0.0,0.0,True,0.0,0.0,2211.0,False,No Service
470650114474,10.0,11.389298685732305,0,9999.0,0.0,0.0,False,0.0,0.0,925.0,False,No Service
470650114475,34.0,1.334937077701439,15,2936.625249691514,1.4642638644635462,26.848989507154187,True,24.81796260031053,1.4642638644635462,620.0,True,Underserved
470650114476,191.0,3.328938292246221,21,3502.576479743746,0.5399102930085892,26.72022682783682,True,9.150996473111046,0.5399102930085892,1985.0,True,Underserved
470650120002,208.0,1.9098707840753686,19,3203.7044436291867,4.762972789759593,43.20985075828059,True,80.72812792239273,4.762972789759593,943.0,True,Underserved
470650121001,161.0,19.206421463712733,14,2372.7754430865857,1.6987472181542527,37.528169836005745,True,28.792245681060706,1.6987472181542527,1346.0,True,Underserved
470650121002,163.0,3.4827926598282795,30,462.02126670473825,6.717084895428966,43.76585018981452,True,113.8485800023081,6.717084895428966,1541.0,True,Underserved
470650121003,4050.0,19.56255998081635,18,1444.966472417504,2.641095941944584,43.46145937829109,True,44.76421354222691,2.641095941944584,1620.0,True,Underserved
470650121004,37.0,7.798245804099169,12,2121.901666086931,0.0,0.0,True,0.0,0.0,435.0,False,No Service
470650121005,215.0,19.764585543716482,6,2563.4966421524578,0.0,0.0,True,0.0,0.0,1471.0,False,No Service
130470301001,8.0,42.20612079069579,0,9999.0,0.0,0.0,False,0.0,0.0,895.0,False,No Service
130470301002,136.0,12.228741084394029,0,9999.0,0.0,0.0,False,0.0,0.0,1305.0,False,No Service
130470301003,29.0,22.325381759341244,0,9999.0,0.0,0.0,False,0.0,0.0,1417.0,False,No Service
130470301004,6.0,22.39517420930648,0,9999.0,0.0,0.0,False,0.0,0.0,1023.0,False,No Service
130470301005,50.0,34.17187257932791,0,9999.0,0.0,0.0,False,0.0,0.0,1412.0,False,No Service
130470301006,94.0,11.854310287598752,0,9999.0,0.0,0.0,False,0.0,0.0,1335.0,False,No Service
130470302011,1758.0,3.925223794991758,0,9999.0,0.0,0.0,False,0.0,0.0,2108.0,False,No Service
130470302012,562.0,2.6194925997269154,0,9999.0,0.0,0.0,False,0.0,0.0,1455.0,False,No Service
130470302013,631.0,7.237455516347697,0,9999.0,0.0,0.0,False,0.0,0.0,2104.0,False,No Service
130470302021,169.0,9.811834774330743,0,9999.0,0.0,0.0,False,0.0,0.0,2459.0,False,No Service
130470302022,102.0,3.703385167308881,1,4490.521264336298,0.0,0.0,True,0.0,0.0,1187.0,False,No Service
130470302023,80.0,6.250904681687101,1,4477.111088201457,0.0,0.0,True,0.0,0.0,650.0,False,No Service
130470302024,23.0,10.795007574154248,0,9999.0,0.0,0.0,False,0.0,0.0,999.0,False,No Service
130470302025,7.0,6.64475659677357,0,9999.0,0.0,0.0,False,0.0,0.0,874.0,False,No Service
130470303031,89.0,13.474925004241852,0,9999.0,0.0,0.0,False,0.0,0.0,2139.0,False,No Service
130470303032,121.0,11.910928311286247,0,9999.0,0.0,0.0,False,0.0,0.0,1590.0,False,No Service
130470303041,418.0,22.184343438070623,0,9999.0,0.0,0.0,False,0.0,0.0,633.0,False,No Service
130470303042,71.0,20.18347676915218,0,9999.0,0.0,0.0,False,0.0,0.0,1582.0,False,No Service
130470303043,21.0,10.330954750142508,0,9999.0,0.0,0.0,False,0.0,0.0,1788.0,False,No Service
