zone_id,num_pr_sites,nearest_pr_distance_m,coverage_score,weighted_accessibility,zone_population,has_coverage,coverage_score_raw,coverage_score_normalized
470650113114,49,545.3195169591097,18.809782634177484,30.271036314502783,1072.0,True,318.8089887788179,18.809782634177484
470650113115,43,1630.7711400219407,9.612342780564308,27.843640946025022,1107.0,True,162.9206111132226,9.612342780564308
470650113116,33,940.2279992676256,1.5832206501962467,27.41006170093949,1885.0,True,26.83417370202266,1.5832206501962467
470650113141,33,2296.6614696434995,4.416523155494374,28.84187513529608,1525.0,True,74.85611654878996,4.416523155494374
470650113142,8,3959.3672898186055,0.12622342094969888,14.107986921980356,3413.0,True,2.139374068047875,0.12622342094969888
470650113143,17,4003.4373529432187,0.224069831979622,14.191647799579536,828.0,True,3.7977832034839283,0.224069831979622
470650113211,49,840.8469855471579,18.013555894601215,37.20762003754878,887.0,True,305.3136578321578,18.013555894601215
470650113212,33,1088.3951548755585,7.332678899656673,37.255879363779236,2612.0,True,124.28234767538788,7.332678899656673
470650113213,38,2117.7038160198936,13.22114727838016,35.65039124701448,1719.0,True,224.08661898396863,13.22114727838016
470650113214,62,896.5712874892054,25.635771235690143,35.7957637496593,1848.0,True,434.5033891760795,25.635771235690143
470650113231,42,2143.4924193604234,10.413075637715362,33.85390292556514,2064.0,True,176.49231672168906,10.413075637715362
470650113232,20,2468.553633333813,2.604645820448382,36.94031859735135,551.0,True,44.14641659044532,2.604645820448382
470650113233,56,443.3920143021623,29.26544161423602,33.22896909493285,745.0,True,496.02305505898306,29.26544161423602
470650113234,59,184.59721779305502,30.517322552730597,34.373100237387824,1990.0,True,517.2413170578085,30.517322552730597
470650113241,18,3659.609238931266,0.9558237444006105,30.94385021730236,1630.0,True,16.20035740601566,0.9558237444006105
470650113242,1,4172.009415748277,0.0,0.0,2532.0,True,0.0,0.0
470650113251,16,1433.3870406487417,0.39208478889511034,36.645600958596006,1310.0,True,6.645486420246049,0.39208478889511034
470650113252,6,2308.036978762472,0.0,0.0,1585.0,True,0.0,0.0
470650113253,6,2800.562230290383,0.003378259110991639,35.47999999999999,1007.0,True,0.057258469805553325,0.003378259110991639
470650113254,1,4082.078394572291,0.0,0.0,2627.0,True,0.0,0.0
470650113261,40,653.6171615929412,10.155108801546243,37.33117856770787,2682.0,True,172.12000962080245,10.155108801546243
470650113262,24,1902.2260587823,2.3399954168153045,37.67693801949299,725.0,True,39.660829000035775,2.3399954168153045
470650113263,17,1235.249619500385,0.6756750848966453,36.66170379474805,2118.0,True,11.452088243036783,0.6756750848966453
470650114021,45,663.6550527377425,17.546393384173328,29.01802455395479,1231.0,True,297.39567119501976,17.546393384173328
470650114022,50,714.1283238726326,17.99125806404266,29.913802110315647,1980.0,True,304.9357295514015,17.99125806404266
470650114023,44,309.2273985258272,15.38281456278712,30.009864797228268,1191.0,True,260.7249456686072,15.38281456278712
470650114024,62,1210.6518882973157,23.74714039261115,30.713198928369778,1232.0,True,402.4927859187905,23.74714039261115
470650114111,52,653.8300244628707,23.370481627631747,33.03875274113762,823.0,True,396.10875680409083,23.370481627631747
470650114112,39,1349.1191629105388,11.55599307562607,30.114389877746635,1255.0,True,195.8637448622739,11.55599307562607
470650114113,42,948.5004602618501,10.835824581508136,30.158307954662906,2028.0,True,183.65753313588613,10.835824581508136
470650114131,21,2730.25066204516,2.9452710657226535,29.869365980072285,1630.0,True,49.91970978103811,2.9452710657226535
470650114132,6,2970.1767450675457,0.6430369736537451,26.736983032365824,3619.0,True,10.898901454897453,0.6430369736537451
470650114133,5,2600.707046395362,1.3640616271830104,26.7650940502651,1300.0,True,23.119624317403535,1.3640616271830104
470650114134,17,1957.9111149547753,0.5106716766356425,28.99604677066673,1095.0,True,8.655428081894573,0.5106716766356425
470650114135,5,2020.964911020605,0.0,0.0,983.0,True,0.0,0.0
470650114421,30,2360.296668866758,6.883693651563945,38.85458349265834,1018.0,True,116.67244937380079,6.883693651563945
470650114422,44,1367.8197384269993,17.088966095844096,38.92728874416725,1491.0,True,289.64268786351107,17.088966095844096
470650114441,50,244.2297987304623,17.364112044743436,29.163411295644302,1150.0,True,294.30616555707047,17.364112044743436
470650114442,78,1517.907242260175,24.661840658268,36.71765534046099,2337.0,True,417.99613714837415,24.661840658268
470650114451,75,526.497939558094,30.018655637467823,34.42979046232625,1013.0,True,508.7893589419549,30.018655637467823
470650114452,75,701.698668308787,34.4822463324333,35.55539714471835,1050.0,True,584.4432281790627,34.4822463324333
470650114453,79,1029.9000415450853,36.191968588234694,34.80953700999955,740.0,True,613.4214909301845,36.191968588234694
470650114454,74,1157.955189741661,33.18876757151632,34.11163711573083,1376.0,True,562.5199203027912,33.18876757151632
470650114461,50,1023.6002076961075,16.29064416171819,37.84702210376972,2773.0,True,276.1118452435554,16.29064416171819
470650114462,69,224.9071138281094,34.81204957815844,35.54009011945395,0.0,True,590.0330981584508,34.81204957815844
470650114463,60,705.2742028667674,26.288523405448156,36.78199493300332,2223.0,True,445.56695451391636,26.288523405448156
470650114471,16,1635.1045895074733,0.0,0.0,538.0,True,0.0,0.0
470650114472,25,1397.4197979727294,1.7056387883449098,28.392711287785307,2244.0,True,28.909051630725934,1.7056387883449098
470650114473,1,4678.9268497889125,0.0,0.0,2211.0,True,0.0,0.0
470650114474,0,9999.0,0.0,0.0,925.0,False,0.0,0.0
470650114475,15,2936.625249691514,1.4642638644635462,26.848989507154187,620.0,True,24.81796260031053,1.4642638644635462
470650114476,21,3502.576479743746,0.5399102930085892,26.72022682783682,1985.0,True,9.150996473111046,0.5399102930085892
470650114481,57,379.03000756109765,34.11220512852341,32.118694204591065,2914.0,True,578.1713608045482,34.11220512852341
470650114482,75,84.48433176802108,39.79575515618749,34.42366344053084,377.0,True,674.5024493786954,39.79575515618749
470650114483,76,481.43017980170015,39.546486013466605,33.91720414256869,1156.0,True,670.2775604009668,39.546486013466605
470650114491,69,994.8881552699848,29.49547007998412,31.640878228494476,834.0,True,499.92183177436334,29.49547007998412
470650114492,73,958.0349135202324,34.201872136084106,32.730025453792265,1316.0,True,579.6911363683181,34.201872136084106
470650116001,38,652.6731136681402,26.29565596424243,39.45497022859939,775.0,True,445.6878450048291,26.29565596424243
470650116002,36,844.2947952754581,24.728288586218145,39.39390865643679,1363.0,True,419.12237008408823,24.728288586218145
